id,LST,NDVI,IBI,MNDWI
209,31.74833,-0.12941,-0.30799,0.56792
210,40.91420,0.35144,0.00423,-0.42118
211,46.50595,0.16667,0.13815,-0.39491
212,42.47597,0.11656,0.10760,-0.30475
213,40.06606,0.33355,-0.05117,-0.28181
214,47.32412,0.30328,-0.02967,-0.30874
215,50.20201,0.15106,0.09862,-0.34628
216,37.94914,0.66073,-0.17607,-0.45953
217,37.81276,0.61172,-0.10659,-0.47642
218,44.25595,0.15067,0.03843,-0.25760
219,37.71450,0.71495,-0.22408,-0.45604
220,38.32223,0.61332,-0.13195,-0.45745
221,38.64935,0.61320,-0.16045,-0.41777
222,,,,
223,43.49523,0.21005,0.06719,-0.35193
224,39.06356,0.18452,-0.23805,0.19580
225,36.88674,0.67993,-0.16005,-0.47357
226,43.05859,0.38300,0.03060,-0.44416
227,40.96520,0.57305,-0.09885,-0.47953
228,47.64056,0.33646,0.04360,-0.40383
229,41.41378,0.47641,0.01855,-0.51326
230,33.52412,-0.05629,-0.35235,0.54554
231,38.79366,0.65483,-0.14506,-0.47948
232,,,,
233,40.30319,0.48636,-0.01845,-0.48695
234,43.54617,0.12653,0.16324,-0.39879
235,37.28155,0.60730,-0.18267,-0.38887
236,38.60210,0.66788,-0.17681,-0.44455
237,37.75533,0.62792,-0.17492,-0.40831
238,38.25187,0.67903,-0.15259,-0.48643
239,38.49904,0.63384,-0.18801,-0.41223
240,35.09456,0.42722,-0.29579,0.01689
241,43.52864,0.22158,0.04380,-0.34109
242,38.44164,0.63930,-0.12879,-0.48509
243,36.18598,0.69161,-0.22498,-0.41214
244,42.96789,0.22857,0.02359,-0.30541
245,37.10128,0.61572,-0.12758,-0.46013
246,43.87729,0.13010,0.15216,-0.41574
247,37.95889,0.60477,-0.13602,-0.42450
248,34.94093,0.65658,-0.20485,-0.39547
249,42.25605,0.58513,-0.11873,-0.44515
250,38.68058,0.58848,-0.12507,-0.44139
251,37.45797,0.61665,-0.10910,-0.48379
252,38.52428,0.60274,-0.14379,-0.40986
253,38.36184,0.54248,-0.05340,-0.47901
254,35.45596,0.68981,-0.18888,-0.45070
255,41.89954,0.48698,-0.06621,-0.45988
256,42.96998,0.44875,0.05067,-0.52581
257,41.79757,0.47377,-0.08226,-0.39400
258,38.28184,0.62077,-0.13584,-0.45014
259,37.52360,0.76966,-0.23784,-0.48155
260,40.09030,0.62292,-0.13793,-0.45547
261,34.61171,0.23311,-0.34718,0.28839
262,38.81345,0.63850,-0.14396,-0.46246
263,34.56902,-0.07678,-0.34426,0.56879
264,40.31453,0.46404,-0.04091,-0.44441
265,41.07701,0.44675,-0.04340,-0.41199
266,46.92738,0.36742,-0.03454,-0.34302
267,43.73256,0.43991,-0.04466,-0.41329
268,39.18367,0.63126,-0.16822,-0.43278
269,40.25237,0.58923,-0.11246,-0.44456
270,38.33116,0.55097,-0.09561,-0.43849
271,48.33352,0.26644,0.04482,-0.36949
272,45.98646,0.41322,-0.04021,-0.40390
273,49.78347,0.22981,0.06242,-0.36644
274,44.46876,0.07988,0.06427,-0.18844
275,43.23671,0.39196,0.03352,-0.47171
276,35.06018,0.07321,-0.33521,0.44252
277,45.79902,0.42581,-0.02492,-0.41452
278,44.86144,0.30035,0.04803,-0.42245
279,40.24993,0.62517,-0.17127,-0.42847
